Setor,Ano,Rank,UF,EXP_USD,EXP_Kg,Share_BR_Pct
Papel e Celulose (CNAE 17),2023,5,MG,1026477220.0,1650085702.0,9.91
Papel e Celulose (CNAE 17),2023,6,RS,899495264.0,1672108458.0,8.68
Papel e Celulose (CNAE 17),2023,7,ES,775812142.0,2074719979.0,7.49
Papel e Celulose (CNAE 17),2023,8,MA,622339058.0,1597970700.0,6.01
Papel e Celulose (CNAE 17),2023,9,SC,349294927.0,413577872.0,3.37
Papel e Celulose (CNAE 17),2023,10,RJ,39454134.0,17679589.0,0.38
Papel e Celulose (CNAE 17),2024,1,SP,2934155274.0,5172117873.0,22.34
Papel e Celulose (CNAE 17),2024,2,MS,2676064404.0,4664829152.0,20.37
Papel e Celulose (CNAE 17),2024,3,BA,1506770584.0,2996141031.0,11.47
Papel e Celulose (CNAE 17),2024,4,PR,1400421164.0,1730810057.0,10.66
Papel e Celulose (CNAE 17),2024,5,ES,1095224833.0,1983913054.0,8.34
Papel e Celulose (CNAE 17),2024,6,MG,1086630085.0,1611611927.0,8.27
Papel e Celulose (CNAE 17),2024,7,RS,1036634003.0,1825613933.0,7.89
Papel e Celulose (CNAE 17),2024,8,MA,940593226.0,1675311428.0,7.16
Papel e Celulose (CNAE 17),2024,9,SC,330873864.0,415948184.0,2.52
Papel e Celulose (CNAE 17),2024,10,ND,77267607.0,149605403.0,0.59
Papel e Celulose (CNAE 17),2025,1,MS,3119500661.0,6909552157.0,24.64
Papel e Celulose (CNAE 17),2025,2,SP,2778221600.0,4903017241.0,21.94
Papel e Celulose (CNAE 17),2025,3,PR,1415406115.0,1903338953.0,11.18
Papel e Celulose (CNAE 17),2025,4,BA,1352164767.0,3098639687.0,10.68
Papel e Celulose (CNAE 17),2025,5,MG,1005586174.0,1705016932.0,7.94
Papel e Celulose (CNAE 17),2025,6,RS,980512697.0,2189182268.0,7.75
Papel e Celulose (CNAE 17),2025,7,ES,863440801.0,1920670152.0,6.82
Papel e Celulose (CNAE 17),2025,8,MA,709758758.0,1619897812.0,5.61
Papel e Celulose (CNAE 17),2025,9,SC,371136784.0,474123755.0,2.93
Papel e Celulose (CNAE 17),2025,10,RJ,48823552.0,22411117.0,0.39
